region_clean,n_wines,lat_mean,lon_mean
corton les languettes,2,47.0721,4.8689
corton les perrieres,4,47.0744,4.8701
corton les pougets,1,47.072,4.8660667
corton les renardes,4,47.072651,4.8705757
corton les vergennes,1,47.0748,4.8705
costieres de nimes,48,43.75112040688291,4.4166986800805415
cote de beaune,6,46.98853858668351,4.786391052158075
cote de nuits,7,47.14999999999999,4.95
cote de nuits villages,44,47.18110000000001,4.961700000000006
cote rotie,197,45.48118,4.799330000000024
coteaux bourguignons,33,47.0,4.75
coteaux de beziers,4,43.35,3.25
coteaux de narbonne,1,43.18333,3.0
coteaux de peyriac,3,43.18332999999999,2.73333
coteaux de pierrevert,3,43.881814034208496,5.833576484426396
coteaux denserune,5,43.31667,3.13333
coteaux du libron,2,43.31667,3.21667
cotes catalanes,115,42.625,2.5
cotes de bordeaux,15,44.78733385733415,-0.3330046864508802
cotes de bourg,37,45.049999999999976,-0.6333300000000005
cotes de castillon,83,44.849999999999945,-0.033329999999999985
cotes de francs,27,42.955249999999985,1.7946999999999993
cotes de malepere,6,43.20011,2.35678
cotes de provence,48,43.01700000000003,1.7319999999999995
cotes de rhone villages,31,44.23446037663721,4.675420640305762
cotes de thau,1,43.4,3.6
cotes de thongue,5,43.5,3.31667
cotes du brian,8,43.2964,2.6858
cotes du rhone,202,44.264975405961756,4.645266570551067
cotes du rhone villages chusclan,1,44.1673,4.6376
cotes du rhone villages laudun,1,44.20087,4.64321
cotes du rhone villages massif duchaux,2,44.08321,4.62145
cotes du rhone villages plan de dieu,10,44.197108743290485,4.946817367235027
cotes du rhone villages roaix,9,44.24912,4.74321
cotes du rhone villages sablet,5,44.21215411027531,5.014080932964322
cotes du rhone villages saint gervais,1,44.14567,4.87321
cotes du rhone villages seguret,4,44.25,5.01667
cotes du rhone villages signargues,7,44.05624185021512,4.702361832020778
cotes du rhone villages valreas,4,44.11415,0.4081
cotes du rhone villages visan,12,44.33333,4.96667
cotes du roussillon,89,42.688610000000054,2.894720000000005
cotes du roussillon villages,143,42.68672903204232,2.684292528036307
cotes du roussillon villages caramany,5,42.7169,2.4845
cotes du roussillon villages latour de france,2,42.65532,2.76543
cotes du roussillon villages tautavel,4,42.74432,2.83456
cotes du ventoux,54,44.16345252055222,5.249286775822527
cotes du vivarais,12,44.38333,4.5
crozes hermitage,113,45.089649999999914,4.830120000000006
cte de beaune villages,8,46.975241202156,4.754082138478909
ctes du jura,21,46.67987000000002,5.727649999999998
echezeaux,48,47.250528999999965,4.905823999999997
faugeres,75,43.56514235032611,3.0889050827624205
fitou,22,42.91666999999998,2.950000000000001
fixin,24,47.25969999999999,4.973399999999999
fixin clos de la perriere,2,47.2482,4.9698
fixin le clos du chapitre,1,47.226453,4.847102
fixin les hervelets,4,47.2494,4.969
fleurie,54,46.255228315979835,4.700469249570069
fronsac,35,44.94528874639298,-0.2826621476031562
gard,18,43.83333000000002,4.416669999999998
gevrey chambertin,123,47.224218213063054,4.969401593758258
gevrey chambertin 1er cru les corbeaux,3,47.244034,5.006001
gevrey chambertin au closeau,1,47.2248,4.9708
gevrey chambertin aux combottes,12,47.2115,4.951700000000001
gevrey chambertin bel air,2,47.221282,5.014509
gevrey chambertin champeaux,14,47.237200000000016,4.965400000000001
gevrey chambertin champonnet,1,47.107818,5.060437
gevrey chambertin clos prieur,6,47.2267,4.956699999999999
gevrey chambertin clos st jacques,6,47.053408,4.937027999999999
gevrey chambertin combe au moine,3,47.18126800000001,5.035902
gevrey chambertin craipillot,1,47.199334,4.872912
gevrey chambertin en ergot,1,47.2284,4.9587
gevrey chambertin estournelles st jacques,2,47.23,4.965
gevrey chambertin fonteny,7,47.22500000000001,4.970999999999999
gevrey chambertin la bossiere,3,47.2287,4.9653
gevrey chambertin la perriere,3,47.2283,4.9692
gevrey chambertin lavaut st jacques,6,47.2302,4.9569
gevrey chambertin les cazetiers,6,47.2294,4.9679
