Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude
Domaine de Tara,Terre d'Ocres Rouge 2010,2010.0,3.5,44,509,3.5,cotes-du-ventoux,7.02,shiraz-syrah,44.16345252055222,5.249286775822527
Gayda,Flying Solo Grenache - Syrah 2023,2023.0,3.5,47,3458,3.4,languedoc-roussillon,7.15,shiraz-syrah,43.599999999999945,3.3833300000000004
Dom Brial,Les Camines Rouge 2022,2022.0,3.8,41,420,3.6,cotes-catalanes,7.15,shiraz-syrah,42.625,2.5
Maison Marigny,Buddy Grenache 2021,2021.0,3.6,58,58,3.6,vin-de-pays-doc,7.2,grenache-noir,43.61193999999985,3.8772200000000017
Bruno Andreu,Aromatic Merlot 2023,2023.0,3.6,105,105,3.6,vin-de-pays-doc,7.2,shiraz-syrah,43.61193999999985,3.8772200000000017
Famille Cros Pujol,Zangre Rouge 2023,2023.0,3.4,157,157,3.4,vin-de-pays-doc,7.29,shiraz-syrah,43.61193999999985,3.8772200000000017
Dom Brial,Les Camines Rouge 2024,2024.0,3.6,420,420,3.6,cotes-catalanes,7.3,shiraz-syrah,42.625,2.5
Jeff Carrel,Le Fiston Terres du Midi 2021,2021.0,3.7,116,562,3.6,languedoc,7.3,shiraz-syrah,43.60057601202888,3.88270435561468
Chateau des Hospices,Nova Ona Rouge 2023,2023.0,3.7,135,135,3.7,languedoc-roussillon,7.3,shiraz-syrah,43.599999999999945,3.3833300000000004
Chateau des Hospices,Nova Ona Rouge 2022,2022.0,3.7,135,135,3.7,languedoc-roussillon,7.3,shiraz-syrah,43.599999999999945,3.3833300000000004
Les Vignerons du Sommiérois,Rouge Tauride 2024,2024.0,3.6,27,27,3.6,vin-de-pays-doc,7.3,shiraz-syrah,43.61193999999985,3.8772200000000017
Domaine de la Mordorée,Côtes-du-Rhône Rouge 2020,2020.0,3.6,48,377,3.8,cotes-du-rhone,7.34,shiraz-syrah,44.26497540596176,4.645266570551067
Château Beauchene,Le Pavillon du Côtes du Rhône 2023,2023.0,3.7,516,516,3.7,cotes-du-rhone,7.37,shiraz-syrah,44.26497540596176,4.645266570551067
Les Goubert,Côtes-du-Rhône 2017,2017.0,3.5,185,185,3.5,cotes-du-rhone,7.38,shiraz-syrah,44.26497540596176,4.645266570551067
Gérard Bertrand,Naturae Syrah 2023,2023.0,3.6,51,2576,3.5,vin-de-pays-doc,7.4,shiraz-syrah,43.61193999999985,3.8772200000000017
EnvyFol,Merlot 2022,2022.0,3.8,30,276,3.7,vin-de-pays-doc,7.4,shiraz-syrah,43.61193999999985,3.8772200000000017
EnvyFol,G.S.M 2022,2022.0,3.9,64,705,3.7,vin-de-pays-doc,7.4,shiraz-syrah,43.61193999999985,3.8772200000000017
Colette & Léon,Beaujolais Villages Rouge 2016,2016.0,3.6,32,32,3.6,beaujolais-villages,7.43,gamay,46.114685816938135,4.689871898228441
Gérard Bertrand,Naturae Corbières 2021,2021.0,3.5,655,655,3.5,corbieres,7.45,shiraz-syrah,43.08158032658233,2.6854789880195296
Château Gravelines,Aliénor Côtes de Bordeaux Rouge 2019,2019.0,3.7,165,165,3.7,cotes-de-bordeaux,7.45,cabernet-sauvignon,44.78733385733415,-0.3330046864508802
Gérard Bertrand,Naturae Corbières 2023,2023.0,3.5,655,655,3.5,corbieres,7.45,shiraz-syrah,43.08158032658233,2.6854789880195296
Domaine la Provenquière,Cuvée P Cabernet Franc - Merlot 2020,2020.0,3.7,218,218,3.7,vin-de-pays-doc,7.5,shiraz-syrah,43.61193999999985,3.8772200000000017
Domaine Félines Jourdan,Entrechats 2023,2023.0,3.7,217,217,3.7,languedoc,7.5,shiraz-syrah,43.60057601202888,3.88270435561468
Domaine la Colombette,Puech d'Hortes Grenache - Syrah 2023,2023.0,3.9,29,503,3.7,pays-dherault,7.5,shiraz-syrah,43.56667000000002,3.416670000000003
Clos Bagatelle,Aux 4 Vents Rouge 2023,2023.0,3.5,124,124,3.5,pays-dherault,7.5,shiraz-syrah,43.56667000000002,3.416670000000003
M. Chapoutier,Marius Grenache - Syrah 2022,2022.0,3.7,788,16262,3.6,vin-de-pays-doc,7.5,shiraz-syrah,43.61193999999985,3.8772200000000017
Famille Cros Pujol,Zangre Rouge 2022,2022.0,3.4,157,157,3.4,vin-de-pays-doc,7.5,shiraz-syrah,43.61193999999985,3.8772200000000017
Les Jamelles,Mourvèdre 2022,2022.0,3.8,47,4737,3.8,vin-de-pays-doc,7.5,shiraz-syrah,43.61193999999985,3.8772200000000017
Les Jamelles,Grenache Rouge 2023,2023.0,3.8,1186,1186,3.8,vin-de-pays-doc,7.5,grenache-noir,43.61193999999985,3.8772200000000017
Domaine de Gournier,Demain...! Syrah 2022,2022.0,3.8,69,69,3.8,cevennes,7.5,shiraz-syrah,44.10000000000001,3.75
Domaine Piquemal,Pierre Côtes Catalanes 2022,2022.0,3.8,27,27,3.8,cotes-catalanes,7.5,shiraz-syrah,42.625,2.5
Gérard Bertrand,Autrement Merlot 2023,2023.0,3.4,1251,1251,3.4,vin-de-pays-doc,7.5,shiraz-syrah,43.61193999999985,3.8772200000000017
Marrenon,Classique Luberon 2021,2021.0,3.7,62,2629,3.4,luberon,7.5,shiraz-syrah,43.79999999999998,5.3
Yvon Mau,Best Bordeaux Quality 2015,2015.0,3.1,136,162,3.1,bordeaux,7.5,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Gérard Bertrand,Autrement Cabernet Sauvignon 2023,2023.0,3.4,1145,1145,3.4,vin-de-pays-doc,7.5,shiraz-syrah,43.61193999999985,3.8772200000000017
Domaine la Colombette,Plume Syrah - Grenache 2023,2023.0,3.3,292,292,3.3,vin-de-pays-doc,7.5,shiraz-syrah,43.61193999999985,3.8772200000000017
Domaine Piquemal,Justin Côtes Catalanes 2023,2023.0,3.4,119,119,3.4,cotes-catalanes,7.5,shiraz-syrah,42.625,2.5
Jerome Quiot,Côtes du Rhône 2020,2020.0,3.6,25,364,3.5,cotes-du-rhone,7.5,shiraz-syrah,44.26497540596176,4.645266570551067
Les Jamelles,Malbec 2023,2023.0,3.9,33,4001,4.0,vin-de-pays-doc,7.55,shiraz-syrah,43.61193999999985,3.8772200000000017
Château Chillac,Bordeaux 2017,2017.0,3.3,45,413,3.5,bordeaux,7.56,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Chateau Amanieu d'Albret,L'Initial Bordeaux 2022,2022.0,3.7,74,74,3.7,bordeaux,7.6,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Les Jamelles,Cabernet Sauvignon 2023,2023.0,3.8,28,5257,3.6,vin-de-pays-doc,7.6,shiraz-syrah,43.61193999999985,3.8772200000000017
Robert Perroud,Beaujolais Nouveau Nature 2024,2024.0,3.5,27,27,3.5,beaujolais-nouveau,7.6,gamay,46.1,4.7
Les Vignerons du Sommiérois,Cuvée Prestige Rouge 2023,2023.0,3.6,51,51,3.6,vin-de-pays-doc,7.6,shiraz-syrah,43.61193999999985,3.8772200000000017
Château de Sauvage,Cuvée Charlet Graves 2020,2020.0,4.0,69,69,4.0,graves,7.65,cabernet-sauvignon,44.59999999999995,-0.3999999999999995
Dom Brial,El Cami Sans Sulfites 2022,2022.0,3.7,130,130,3.7,cotes-catalanes,7.67,shiraz-syrah,42.625,2.5
Gourmet Pere & Fils,Côte de Boeuf Syrah - Marselan 2023,2023.0,3.9,52,6000,4.0,languedoc-roussillon,7.7,shiraz-syrah,43.599999999999945,3.3833300000000004
Château La Mahele,Bordeaux 2019,2019.0,3.0,255,255,3.0,bordeaux,7.7,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Les Jamelles,Cabernet Sauvignon 2022,2022.0,3.7,101,5257,3.6,vin-de-pays-doc,7.75,shiraz-syrah,43.61193999999985,3.8772200000000017
Château l'Escadre,Tradition Blaye Côtes de Bordeaux 2018,2018.0,3.6,400,400,3.6,blaye-cotes-de-bordeaux,7.76,cabernet-sauvignon,45.13333000000003,-0.66667
Château de Nouvelles,Mas La Borde Fitou 2024,2024.0,3.7,341,342,3.7,fitou,7.79,shiraz-syrah,42.91666999999998,2.950000000000001
Château de Nouvelles,Marselan 2024,2024.0,3.6,58,58,3.6,fitou,7.79,shiraz-syrah,42.91666999999998,2.950000000000001
Château Haut Rian,Côtes de Bordeaux Rouge 2020,2020.0,3.5,1287,1287,3.5,cotes-de-bordeaux,7.8,cabernet-sauvignon,44.78733385733415,-0.3330046864508802
M. Chapoutier,Marius Grenache - Syrah 2023,2023.0,3.6,116,16262,3.6,vin-de-pays-doc,7.8,shiraz-syrah,43.61193999999985,3.8772200000000017
Jeff Carrel,Les Darons Rouge 2023,2023.0,4.0,114,22110,3.8,languedoc,7.8,shiraz-syrah,43.60057601202888,3.88270435561468
Château Nuit des Dames,Côtes du Rhône Rouge 2024,2024.0,3.4,552,552,3.4,cotes-du-rhone,7.88,shiraz-syrah,44.26497540596176,4.645266570551067
Paul Jaboulet Aîné,Côtes du Ventoux Les Traverses Rouge 2022,2022.0,3.8,68,3302,3.6,cotes-du-ventoux,7.89,shiraz-syrah,44.16345252055222,5.249286775822527
Domaine du Clos Roca,L'Heureux Elu 2024,2024.0,3.8,27,27,3.8,pays-dherault,7.9,grenache-noir,43.56667000000002,3.416670000000003
Deprade Jorda,Le Petit Innocent 2023,2023.0,3.6,56,56,3.6,languedoc-roussillon,7.9,shiraz-syrah,43.599999999999945,3.3833300000000004
Château Perillas de Michaud,Médoc 2020,2020.0,3.8,538,538,3.8,medoc,7.9,cabernet-sauvignon,45.26666999999998,-0.7833299999999995
Massillan,Sous le Charme 2021,2021.0,3.4,31,31,3.4,saint-guilhem-le-desert,7.9,shiraz-syrah,43.73333000000002,3.549999999999999
Gérard Bertrand,6ème Sens Rouge 2023,2023.0,3.5,42,3304,3.4,vin-de-pays-doc,7.9,shiraz-syrah,43.61193999999985,3.8772200000000017
Robert Giraud,Bordeaux Château Haut-Fourat 2019,2019.0,3.4,1134,1134,3.4,bordeaux,7.9,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Domaine Garnier,Valençay Prestige 2023,2023.0,3.7,54,54,3.7,valencay,7.9,cabernet-sauvignon,47.15,1.56667
La Tour Penedesses,Les Crêtes Pézenas Coteaux du Languedoc 2021,2021.0,3.5,329,329,3.5,pezenas,7.9,shiraz-syrah,43.466670000000015,3.416669999999999
Jeff Carrel,Le Fiston Terres du Midi 2023,2023.0,3.6,562,562,3.6,languedoc,7.9,shiraz-syrah,43.60057601202888,3.88270435561468
Rex Mundi,Shiraz - Grenache 2023,2023.0,3.8,163,7270,3.9,vin-de-pays-doc,7.95,shiraz-syrah,43.61193999999985,3.8772200000000017
Domaine de la Baume,Merlot Grand Châtaignier 2023,2023.0,3.7,152,4000,3.6,languedoc-roussillon,7.99,shiraz-syrah,43.599999999999945,3.3833300000000004
Château Barrail,Château Guion Barrail Cuvée Prestige Bordeaux 2020,2020.0,3.4,207,873,3.4,bordeaux,7.99,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Domaine de la Baume,Cabernet Sauvignon Les Thermes 2024,2024.0,3.7,4640,4640,3.7,languedoc-roussillon,7.99,shiraz-syrah,43.599999999999945,3.3833300000000004
Domaine de la Baume,Syrah La Jeunesse 2023,2023.0,3.7,106,6382,3.7,languedoc-roussillon,7.99,shiraz-syrah,43.599999999999945,3.3833300000000004
Domaine Lafage,Les Sardines Catalanes Rouge 2023,2023.0,3.8,72,72,3.8,cotes-catalanes,7.99,shiraz-syrah,42.625,2.5
Domaine de la Baume,Saint-Geniès Petit Verdot 2022,2022.0,3.8,47,552,3.8,languedoc-roussillon,7.99,shiraz-syrah,43.599999999999945,3.3833300000000004
Château Réal,Haut Médoc 2018,2018.0,3.6,510,511,3.6,haut-medoc,8.0,cabernet-sauvignon,45.19999999999997,-0.7666700000000025
Château Réal,Haut Médoc 2017,2017.0,3.8,79,511,3.6,haut-medoc,8.0,cabernet-sauvignon,45.19999999999997,-0.7666700000000025
Domaine Les Prunelles,Les Prunelles de Montblanc Classique Rouge 2022,2022.0,3.7,149,149,3.7,languedoc,8.0,shiraz-syrah,43.60057601202888,3.88270435561468
Château Canet,Domaine Canet Syrah 2023,2023.0,3.8,92,93,3.8,vin-de-pays-doc,8.0,shiraz-syrah,43.61193999999985,3.8772200000000017
Château de Sauvage,Cuvée Charlet Graves 2018,2018.0,4.0,69,69,4.0,graves,8.0,cabernet-sauvignon,44.59999999999995,-0.3999999999999995
Badet Clement,Oraison Côtes du Rhône 2022,2022.0,3.5,720,721,3.5,cotes-du-rhone,8.0,shiraz-syrah,44.26497540596176,4.645266570551067
Famille Jean-Pierre  Rambier - Domaine Haut-Lirou,S Syrah 2024,2024.0,3.7,109,109,3.7,vin-de-pays-doc,8.0,shiraz-syrah,43.61193999999985,3.8772200000000017
Pierrick Harang,Le Bio Balthazar Minervois Syrah - Grenache Noir 2021,2021.0,3.7,73,955,3.4,minervois,8.0,shiraz-syrah,43.29984594640925,2.600652385480642
Château Boisson,Bordeaux rouge 2019,2019.0,3.7,79,79,3.7,bordeaux,8.0,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Mas Cremat,Tamarius 2022,2022.0,3.5,527,527,3.5,cotes-catalanes,8.0,shiraz-syrah,42.625,2.5
Parcé Frères,Zoé 2024,2024.0,3.4,73,73,3.4,cotes-du-roussillon-villages,8.0,shiraz-syrah,42.68672903204232,2.684292528036307
Clos del Rey,Baby del Rey 2022,2022.0,3.7,91,91,3.7,cotes-du-roussillon-villages,8.0,shiraz-syrah,42.68672903204232,2.684292528036307
Calvet,Minervois 2020,2020.0,3.4,46,405,3.3,minervois,8.0,shiraz-syrah,43.29984594640925,2.600652385480642
Lavau,Côtes du Rhône 2022,2022.0,3.7,1583,1584,3.7,cotes-du-rhone,8.0,shiraz-syrah,44.26497540596176,4.645266570551067
Calvet,Merlot - Cabernet Sauvignon Bordeaux 2021,2021.0,3.5,190,12536,3.4,bordeaux,8.09,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Cave Les Coteaux de Visan,Grande Réserve Bio Côtes-du-Rhône-Villages 'Visan' 2017,2017.0,3.6,27,45,3.8,cotes-du-rhone-villages-visan,8.1,shiraz-syrah,44.33333,4.96667
Saint Marc,Domaine des Vignes Longues Ventoux 2017,2017.0,3.6,71,71,3.6,cotes-du-ventoux,8.1,shiraz-syrah,44.16345252055222,5.249286775822527
Estezargues,Cuvée des Galets Côtes du Rhône 2023,2023.0,3.6,3613,3613,3.6,cotes-du-rhone,8.1,shiraz-syrah,44.26497540596176,4.645266570551067
Cellier des Chartreux,Chamasûtra Unlimited Love 2024,2024.0,3.9,2396,2396,3.9,gard,8.25,shiraz-syrah,43.83333000000002,4.416669999999998
Cellier des Chartreux,Chevalier d'Anthelme Côtes du Rhône Rouge 2023,2023.0,3.8,122,2893,3.7,cotes-du-rhone,8.25,shiraz-syrah,44.26497540596176,4.645266570551067
Château Chantemerle,Médoc 2013,2013.0,3.7,275,4193,3.6,medoc,8.3,cabernet-sauvignon,45.26666999999998,-0.7833299999999995
Château le Clos du Notaire,L'Usufruit Clos du Notaire 2022,2022.0,3.6,52,52,3.6,cotes-de-bourg,8.3,cabernet-sauvignon,45.049999999999976,-0.6333300000000005
Château le Pech d'André,Serment Cépages Enlacés 2022,2022.0,3.9,51,51,3.9,languedoc-roussillon,8.39,shiraz-syrah,43.599999999999945,3.3833300000000004
Emmanuel Fellot Vigneron,Vieilles Vignes Beaujolais Nouveau 2024,2024.0,3.4,68,68,3.4,beaujolais-nouveau,8.4,gamay,46.1,4.7
Domaine Brunely,Côtes du Rhône 2023,2023.0,3.7,359,359,3.7,cotes-du-rhone,8.4,shiraz-syrah,44.26497540596176,4.645266570551067
Château Haut Pougnan,Château Les Moutins Bordeaux Rouge 2020,2020.0,3.5,241,1296,3.4,bordeaux,8.42,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Domaine du Barrau,Bordeaux Rouge 2018,2018.0,3.6,34,34,3.6,bordeaux,8.43,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Château Malbat,Merlot - Cabernet Bordeaux 2022,2022.0,3.4,26,2398,3.6,bordeaux,8.45,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Les Jamelles,Minimalist Syrah - Grenache 2023,2023.0,3.8,214,214,3.8,vin-de-pays-doc,8.45,shiraz-syrah,43.61193999999985,3.8772200000000017
Château La Gorre,Chateau Haut Peyrillat Médoc 2021,2021.0,3.9,313,313,3.9,medoc,8.46,cabernet-sauvignon,45.26666999999998,-0.7833299999999995
Paul Jaboulet Aîné,Secret de Famille Syrah 2019,2019.0,3.8,151,1677,3.6,cotes-du-rhone,8.48,shiraz-syrah,44.26497540596176,4.645266570551067
Domaine du Clos des Fées,Modeste Red 2023,2023.0,3.7,1133,1133,3.7,cotes-du-roussillon,8.49,shiraz-syrah,42.688610000000054,2.894720000000005
Victor Berard,Côtes du Rhône Rouge 2021,2021.0,3.6,191,1796,3.5,cotes-du-rhone,8.49,shiraz-syrah,44.26497540596176,4.645266570551067
