Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,dist_km
Château Saint-Sernin,Malbec de Galets Cahors 2016,2016.0,3.8,98,265,3.8,cahors,11.07,malbec,44.44889,1.44,46,46197002,260,1675.9,21.964516129032255,29.72258064516129,14.972580645161292,6.0,1.0,78.60000000000001,66.60000000000002,0.0,11.29,8.373839273353473
Jean Bouchard,Domaine du Bois des Chênes Beaujolais-Villages 2023,2023.0,3.7,896,896,3.7,beaujolais-villages,11.1,gamay,46.1,4.7,69,69206001,190,1864.5,22.520967741935483,29.24354838709677,13.249999999999998,10.0,2.0,111.0,147.39999999999998,2.0,11.126666666666665,4.726068449274317
Château Gros Caillou,Chateau Moulin de Cantelaube Saint-Émilion Grand Cru 2011,2011.0,3.9,46,379,3.6,st-emilion-grand-cru,11.1,cabernet-sauvignon,42.65658,0.00997,65,65188005,1410,744.6,14.456666666666665,21.49354838709677,11.950000000000003,0.0,6.0,73.89999999999999,145.79999999999998,2.0,9.003846153846153,8.756766742904402
Domaine des Bosquets,Le Petit Vin des Bosquets 2023,2023.0,3.8,217,217,3.8,cotes-du-rhone,11.2,shiraz-syrah,44.25,4.63333,84,84064001,46,2358.0,25.06451612903226,33.75322580645161,16.596774193548388,25.0,1.0,121.39999999999999,153.3,0.0,13.446666666666669,8.084706772366594
Château Les Eydins,L’Ouvière Rouge 2020,2020.0,3.8,315,315,3.8,luberon,11.2,shiraz-syrah,43.8,5.3,84,84026003,152,1863.55,24.238709677419358,32.66451612903226,16.64516129032258,13.0,0.0,81.5,156.9,1.0,11.764285714285714,9.978704291791564
Château de la Liquiere,Les Amandiers Faugères 2023,2023.0,3.7,1030,1030,3.7,faugeres,11.2,shiraz-syrah,43.56667,3.08333,34,34028003,373,2021.6499999999996,23.541935483870965,29.712903225806453,11.906451612903227,6.0,0.0,39.3,199.50000000000003,0.0,12.563333333333334,9.573292129276052
Couly-Dutheil,Domaine René Couly Chinon 2014,2014.0,3.6,122,1021,3.8,chinon,11.2,cabernet-franc,47.16667,0.23333,37,37072002,76,1490.85,19.00645161290323,25.624193548387098,11.906451612903224,0.0,4.0,53.8,130.4,0.0,12.36666666666667,1.9644039408126892
Château Fleur La Mothe,Le Jardin de Fleur La Mothe 2021,2021.0,3.7,300,300,3.7,medoc,11.2,cabernet-sauvignon,45.26667,-0.78333,33,33314005,26,1621.6,19.929032258064513,25.287096774193547,9.80483870967742,0.0,1.0,156.20000000000002,120.0,0.0,12.613333333333333,5.819738971414372
Domaine la Provenquière,Pur Cinsault 2021,2021.0,3.8,46,46,3.8,coteaux-denserune,11.2,shiraz-syrah,43.31667,3.13333,34,34032002,25,1978.0499999999997,23.32903225806452,30.28225806451612,13.922580645161293,4.0,2.0,21.099999999999998,36.699999999999996,2.0,12.223333333333331,2.6325082982122865
Château Grand'Grange,Vieilles Vignes La Cascade Beaujolais-Villages 2023,2023.0,3.5,79,79,3.5,beaujolais,11.2,gamay,46.1,4.7,69,69206001,190,1864.5,22.520967741935483,29.24354838709677,13.249999999999998,10.0,2.0,111.0,147.39999999999998,2.0,11.126666666666665,4.726068449274317
