Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dist_km,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,year_median,W_price_year,WR,WR01,WQI,threshold,is_good_wine,label
Fontbonau,Les Chaux de Fontbonau Côtes du Rhône 2015,2015,3.8,187,762,3.8,cotes-du-rhone,12.5,shiraz-syrah,44.26497540596176,4.645266570551067,17.98990768781055,07,07168001,230,2026.1,24.440322580645162,31.643548387096775,13.629032258064516,12.0,3.0,96.5,334.7,0.0,13.763333333333334,55.3,0.8156342182890856,3.9045599891911364,0.7809119978382273,0.6369385469093506,0.496594341718498,1,1
Château Cap de Faugères,Castillon - Côtes de Bordeaux 2015,2015,3.7,851,6454,3.7,cotes-de-castillon,12.5,cabernet-sauvignon,44.849999999999945,-0.0333299999999999,14.321596286117341,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.8156342182890856,3.7542410856669,0.75084821713338,0.612417498635338,0.5040143909780761,1,1
Château La Vaisinerie,Merlot Puisseguin Saint-Émilion 2015,2015,3.7,104,1017,3.7,puisseguin-saint-emilion,12.82,cabernet-sauvignon,44.55280000000001,0.0419,19.403445246785108,33,33482001,82,1728.65,21.87096774193548,28.588709677419356,12.65,2.0,3.0,58.9,85.40000000000002,0.0,13.710000000000003,55.3,0.8118027011156781,3.898433580304533,0.7796867160609067,0.6329517821222568,0.543025542296711,1,1
Château Saint-Sernin,Malbec de Calcaire Cahors 2015,2015,3.9,51,303,3.8,cahors,13.12,malbec,44.44889000000001,1.4399999999999986,8.373839273354882,46,46197002,260,1766.85,22.530645161290323,30.00645161290323,14.345161290322583,9.0,4.0,49.6,72.70000000000002,0.0,13.613333333333333,55.3,0.808243203741596,3.989297526603394,0.7978595053206787,0.6448645227160703,0.5510682526514893,1,1
Château Haut Macô,Cuvée Jean Bernard Côtes de Bourg 2015,2015,3.9,56,537,3.7,cotes-de-bourg,13.49,cabernet-sauvignon,45.049999999999976,-0.6333300000000005,12.876669370827354,33,33415001,42,1702.7,21.43870967741935,28.154838709677414,12.279032258064516,2.0,4.0,37.20000000000001,119.39999999999999,0.0,13.79,55.3,0.8038959151039395,3.9873812706676985,0.7974762541335397,0.6410879030903438,0.4736221164960575,1,1
Château Sénéjac,Artigues de Sénéjac Haut-Médoc 2015,2015,3.7,227,227,3.7,haut-medoc,13.95,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.7985559566787003,3.8380193962019153,0.7676038792403831,0.6129746501370856,0.5130695611049225,1,1
Chateau de Carlmagnus,Fronsac 2015,2015,3.8,101,676,3.8,fronsac,14.31,cabernet-sauvignon,44.94528874639298,-0.2826621476031562,8.06001225217575,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.7944260882057176,3.9369058851279632,0.7873811770255926,0.6255161483912551,0.5040143909780761,1,1
Château Guges,Le Petit Roi du Château Guges Haut-Médoc 2015,2015,3.6,157,157,3.6,haut-medoc,14.84,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.7884231536926147,3.819939628938844,0.7639879257877688,0.602345769832672,0.5130695611049225,1,1
Domaine Pichard,Signature Madiran 2015,2015,3.8,210,210,3.8,madiran,15.0,cabernet-sauvignon,43.57614716328285,-0.0464244720320663,21.61448189616417,32,32155001,141,1697.4,21.374074074074073,28.049999999999997,12.067741935483872,2.0,4.0,46.900000000000006,114.60000000000001,0.0,13.433333333333334,55.3,0.786628733997155,3.8983458296268054,0.7796691659253611,0.6133101689284846,0.5186676066200284,1,1
Domaine de Beauséjour,Vieilles Vignes La Chesnaye Chinon 2015,2015,3.7,29,44,3.8,chinon,15.0,cabernet-franc,47.16667,0.2333299999999997,1.9644039408126899,37,37072002,76,1501.6,20.827419354838707,28.196774193548382,13.51451612903226,3.0,5.0,61.400000000000006,131.20000000000002,0.0,13.150000000000002,55.3,0.786628733997155,3.9706788158522994,0.7941357631704599,0.6246900100046434,0.5170805783523673,1,1
