phh2o,ocd,clay,sand,silt,bdod,AOC
6.300000000000001,52.55,21.65,43.55,34.8,1.2349999999999999,Brouilly
6.333333333333333,52.5,28.733333333333334,29.566666666666663,41.666666666666664,1.2866666666666668,Bouzeron
6.0,56.5,20.7,27.5,51.8,1.22,Béarn
7.366666666666667,47.1,26.96666666666667,30.0,43.03333333333333,1.32,Béa du Roussillon
7.125,47.125,32.5,18.4,49.074999999999996,1.3275000000000001,Brulhois
6.6,50.6,32.9,17.5,49.6,1.3,Bâtard-Montrachet
6.05,50.95,19.15,34.55,46.25,1.25,Cabernet d'Anjou
6.9,47.6,27.1,24.3,48.5,1.32,Buzet
7.6,49.2,30.5,27.7,41.7,1.28,Cabardès
7.3999999999999995,47.1,27.166666666666668,34.599999999999994,38.23333333333334,1.3099999999999998,Cairanne
6.3,49.05,22.7,38.7,38.6,1.3250000000000002,Cadillac
6.9,53.4,22.1,36.6,41.3,1.33,Canon Fronsac
6.4,50.3,30.7,28.0,41.2,1.3,Cahors
6.95,51.6,34.55,18.25,47.2,1.32,Chablis
7.0,50.9,32.8,20.8,46.4,1.32,Chablis Grand Cru
6.833333333333333,50.4,32.63333333333333,17.166666666666668,50.199999999999996,1.3133333333333332,Chambertin
6.833333333333333,50.56666666666666,33.0,17.2,49.79999999999999,1.3166666666666667,Chambertin-Clos de Bèze
6.65,51.95,30.55,20.85,48.65,1.315,Chambolle-Musigny
6.8,51.3,34.7,15.8,49.5,1.31,Chapelle-Chambertin
7.1,50.7,34.7,15.3,50.1,1.31,Charmes-Chambertin
6.800000000000001,51.349999999999994,28.5,20.85,50.7,1.3250000000000002,Charlemagne
,,,,,,Chassagne-Montrachet
6.366666666666667,50.79999999999999,22.066666666666666,44.70000000000001,33.233333333333334,1.3033333333333335,Chinon
6.5,52.3,29.6,21.9,48.5,1.32,Chevalier-Montrachet
6.6,45.7,19.7,49.3,31.0,1.3,Cheverny
6.300000000000001,53.099999999999994,22.4,42.599999999999994,35.05,1.185,Chiroubles
6.3,48.349999999999994,23.7,43.099999999999994,33.2,1.3250000000000002,Châteaumeillant
6.7,50.05,37.15,13.75,49.1,1.31,Chorey-lès-Beaune
6.4,51.75,24.1,29.25,46.65,1.3,Château-Grillet
6.233333333333333,51.53333333333333,24.899999999999995,36.93333333333333,38.13333333333333,1.29,Chénas
6.400000000000001,62.699999999999996,35.13333333333333,22.599999999999998,42.266666666666666,1.17,Château-Chalon
7.550000000000001,44.1,22.799999999999997,40.9,36.3,1.3250000000000002,Châteauneuf-du-Pape
7.4,49.0,26.9,30.5,42.6,1.24,Châtillon-en-Diois
7.3,46.6,24.8,28.3,46.9,1.21,Clairette de Die
7.4,44.8,21.0,38.7,40.3,1.26,Clairette de Bellegarde
7.5,47.3,25.799999999999997,33.5,40.7,1.25,Clairette du Languedoc
6.7,51.6,31.1,16.2,52.6,1.32,Clos de Vougeot ou Clos Vougeot
6.7,53.2,33.1,18.9,48.0,1.28,Clos Saint-Denis
6.7,52.2,33.1,19.1,47.8,1.3,Clos de Tart
6.8,53.3,32.8,18.1,49.1,1.27,Clos de la Roche
6.7,55.9,34.7,18.3,47.0,1.23,Clos des Lambrays
,,,,,,Collioure
,,,,,,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire
7.4,46.125,28.575,28.925,42.55,1.2875,Corbières
6.3,52.2,26.1,28.3,45.7,1.28,Condrieu
6.766666666666667,50.26666666666667,28.566666666666666,20.366666666666664,51.03333333333334,1.3233333333333333,Corton-Charlemagne
7.6,44.974999999999994,25.275,34.175,40.55,1.32,Coteaux d'Aix-en-Provence
,,,,,,Coteaux du Giennois
6.5,51.06666666666666,20.466666666666665,42.53333333333333,36.96666666666666,1.1533333333333333,Cornas
,,,,,,Coteaux du Loir
6.833333333333333,52.03333333333333,30.3,19.966666666666665,49.76666666666667,1.3333333333333333,Corton
7.5,44.99999999999999,21.449999999999996,39.15,39.4,1.3399999999999999,Costières de Nîmes
,,,,,,Coteaux du Layon
6.300000000000001,48.25,20.4,39.05,40.55,1.255,Coteaux d'Ancenis
,,,,,,Coteaux du Vendômois
,,,,,,Coteaux de Saumur
,,,,,,Coteaux de l'Aubance
,,,,,,Coteaux du Quercy
7.1,49.0,25.6,29.65,44.8,1.1949999999999998,Coteaux de Die
,,,,,,Coteaux du Lyonnais
,,,,,,Crémant d'Alsace
7.2,42.4,20.3,26.4,53.3,1.33,Coteaux varois en Provence
6.333333333333333,50.96666666666666,24.46666666666667,33.36666666666667,42.166666666666664,1.3,Crémant de Bourgogne
,,,,,,Cour-Cheverny
6.4,52.4,19.4,38.3,42.2,1.26,Coulée de Serrant
7.05,46.650000000000006,26.450000000000003,29.75,43.8,1.15,Crémant de Die
6.6,49.5,31.7,18.1,50.2,1.31,Criots-Bâtard-Montrachet
6.5,60.55,35.650000000000006,24.95,39.349999999999994,1.1549999999999998,Crémant du Jura
6.2,48.5,18.2,39.3,42.5,1.17,Crémant de Loire
6.7,48.7,23.4,31.9,44.7,1.29,Crémant de Bordeaux
6.5,50.35,21.8,36.3,41.900000000000006,1.23,Crozes-Hermitage ou Crozes-Ermitage
6.766666666666667,48.63333333333333,27.733333333333334,26.433333333333337,45.833333333333336,1.2233333333333334,Crémant de Limoux
,,,,,,Côtes d'Auvergne
,,,,,,Côte de Nuits-Villages ou Vins fins de la Côte de Nuits
6.4,44.9,26.2,43.8,30.0,1.27,Côte roannaise
6.6,54.7,30.8,34.1,35.1,1.21,Côte de Beaune-Villages
5.966666666666666,49.166666666666664,21.166666666666664,52.0,26.833333333333332,1.3066666666666669,Cérons
6.6,53.0,33.099999999999994,20.9,45.95,1.315,Côte de Beaune
,,,,,,Côtes de Millau
6.366666666666667,51.333333333333336,21.333333333333332,38.666666666666664,40.06666666666666,1.2566666666666666,Côte de Brouilly
6.3,51.1,26.1,32.3,41.6,1.26,Côte Rôtie
6.9,49.0,34.3,25.9,39.8,1.33,Côtes de Bergerac
7.3,44.0,23.4,26.0,50.7,1.28,Côtes de Provence
6.5,48.3,25.1,31.1,43.8,1.3,Côtes de Bordeaux-Saint-Macaire
6.55,57.45,25.549999999999997,45.45,29.0,1.3250000000000002,Côtes de Bordeaux
6.5,57.5,34.6,19.4,46.0,1.22,Côtes du Jura
6.833333333333333,49.96666666666667,29.266666666666666,29.266666666666666,41.46666666666667,1.3333333333333333,Côtes de Duras
,,,,,,"Côtes de Bourg, Bourg et Bourgeais"
6.4,51.3,24.7,35.3,40.1,1.35,Côtes de Montravel
6.1,47.5,21.3,47.4,31.3,1.31,Côtes du Forez
6.75,53.95,34.15,20.450000000000003,45.45,1.27,Côtes de Toul
7.4,46.8,24.049999999999997,37.75,38.150000000000006,1.3050000000000002,Côtes du Rhône
7.4,45.2,26.5,31.2,42.4,1.3,Côtes du Vivarais
